date,amount,account_code,account_name,vendor,description,journal_ref
2024-06-12,3751.83,5100,Consulting Fees,Grainger Industrial,,JE1448
2024-02-20,11878.57,7000,Equipment,Rivera Consulting,Equipment payment to Rivera Consulting,JE1238
2024-08-12,9823.13,6000,Salaries,Metro Utilities,Salaries payment to Metro Utilities,JE1196
2024-02-13,5148.69,5100,Consulting Fees,Summit Travel,Consulting Fees payment to Summit Travel,JE1179
2024-01-24,3293.93,5100,Consulting Fees,Rivera Consulting,Consulting Fees payment to Rivera Consulting,JE1011
2024-08-19,162.68,5000,Office Supplies,Summit Travel,Office Supplies payment to Summit Travel,JE1343
2024-02-29,9357.39,6000,Salaries,BlueLine Software,Salaries payment to BlueLine Software,JE1270
2024-06-14,1650.99,6100,Travel,Ironwood Supply,Travel payment to Ironwood Supply,JE1033
2024-12-10,3866.17,7000,Equipment,Payroll Partners,Equipment payment to Payroll Partners,JE1112
2024-10-11,3050.06,5100,Consulting Fees,BlueLine Software,Consulting Fees payment to BlueLine Software,JE1161
2024-08-14,4213.36,5100,Consulting Fees,Rivera Consulting,Consulting Fees payment to Rivera Consulting,JE1318
2024-09-10,6041.44,7000,Equipment,CloudWorks Inc,Equipment payment to CloudWorks Inc,JE1228
2024-08-28,448.17,5200,Software Subscriptions,CloudWorks Inc,Software Subscriptions payment to CloudWorks Inc,JE1200
2024-10-16,5803.61,7000,Equipment,Rivera Consulting,Equipment payment to Rivera Consulting,JE1150
2024-02-06,4321.1,5100,Consulting Fees,Ironwood Supply,Consulting Fees payment to Ironwood Supply,JE1043
2024-12-06,8036.58,6000,Salaries,BlueLine Software,Salaries payment to BlueLine Software,JE1300
2024-03-21,622.37,5000,Office Supplies,Metro Utilities,Office Supplies payment to Metro Utilities,JE1061
2024-12-11,4480.14,7000,Equipment,Grainger Industrial,Equipment payment to Grainger Industrial,JE1234
2024-04-23,7309.08,6000,Salaries,Summit Travel,Salaries payment to Summit Travel,JE1334
2024-12-06,3044.74,5100,Consulting Fees,Payroll Partners,Consulting Fees payment to Payroll Partners,JE1105
2024-07-09,1393.62,6100,Travel,Metro Utilities,Travel payment to Metro Utilities,JE1374
2024-11-29,4662.63,5100,Consulting Fees,Rivera Consulting,Consulting Fees payment to Rivera Consulting,JE1141
2024-02-16,3211.17,5100,Consulting Fees,BlueLine Software,Consulting Fees payment to BlueLine Software,JE1377
2024-04-29,1413.63,6100,Travel,Payroll Partners,Travel payment to Payroll Partners,JE1282
2024-11-29,2042.94,6100,Travel,Ironwood Supply,Travel payment to Ironwood Supply,JE1346
2024-06-07,2920.03,7000,Equipment,Ironwood Supply,Equipment payment to Ironwood Supply,JE1257
2024-10-14,7765.75,6000,Salaries,BlueLine Software,Salaries payment to BlueLine Software,JE1423
2024-10-19,4657.68,7000,Equipment,BlueLine Software,Equipment weekend entry,JE1443
2024-11-29,7707.87,7000,Equipment,Rivera Consulting,Equipment payment to Rivera Consulting,JE1297
2024-07-15,9390.07,6000,Salaries,CloudWorks Inc,Salaries payment to CloudWorks Inc,JE1218
2024-08-23,8727.9,6000,Salaries,Ironwood Supply,Salaries payment to Ironwood Supply,JE1328
2024-11-21,913.36,5200,Software Subscriptions,Payroll Partners,Software Subscriptions payment to Payroll Partners,JE1255
2024-08-27,894.1,5200,Software Subscriptions,Rivera Consulting,Software Subscriptions payment to Rivera Consulting,JE1262
2024-04-17,7747.62,6000,Salaries,Grainger Industrial,Salaries payment to Grainger Industrial,JE1014
2024-04-08,1171.67,5200,Software Subscriptions,CloudWorks Inc,Software Subscriptions payment to CloudWorks Inc,JE1168
2024-08-26,613.63,6100,Travel,Wexler LLC,Travel one-off,JE1450
2024-09-16,983.62,5200,Software Subscriptions,Grainger Industrial,Software Subscriptions payment to Grainger Industrial,JE1220
2024-03-19,967.55,5200,Software Subscriptions,Grainger Industrial,Software Subscriptions payment to Grainger Industrial,JE1301
2024-03-21,461.45,5200,Software Subscriptions,Metro Utilities,,JE1446
2024-06-12,8854.51,6000,Salaries,Rivera Consulting,Salaries payment to Rivera Consulting,JE1427
2024-12-09,9085.2,6000,Salaries,Grainger Industrial,Salaries payment to Grainger Industrial,JE1273
2024-08-28,2173.31,7000,Equipment,Rivera Consulting,Equipment payment to Rivera Consulting,JE1091
2024-08-05,11848.91,6000,Salaries,Summit Travel,Salaries payment to Summit Travel,JE1248
2024-06-21,3762.07,5100,Consulting Fees,CloudWorks Inc,Consulting Fees payment to CloudWorks Inc,JE1006
2024-12-03,7391.33,5100,Consulting Fees,Payroll Partners,Consulting Fees payment to Payroll Partners,JE1093
2024-02-02,2205.56,5100,Consulting Fees,CloudWorks Inc,Consulting Fees payment to CloudWorks Inc,JE1401
2024-04-12,1564.64,6100,Travel,Summit Travel,Travel payment to Summit Travel,JE1425
2024-01-15,1436.25,6100,Travel,Metro Utilities,Travel payment to Metro Utilities,JE1212
